position,book_draft,director,duration
1,Stephen King,Frank Darabont,142
2,Winston Groom,Robert Zemeckis,142
3,Stephen King,Frank Darabont,188
4,,David Fincher,127
5,Ken Kesey,Miloš Forman,133
6,Thomas Keneally,Steven Spielberg,195
7,Mario Puzo,Francis Ford Coppola,175
8,,Sidney Lumet,96
9,,Eric Toledano,112
10,Petr Šabach,Jan Hřebejk,116
11,,James Cameron,137
12,J.R.R. Tolkien,Peter Jackson,228
13,,Quentin Tarantino,154
14,J.R.R. Tolkien,Peter Jackson,193
15,Mario Puzo,Francis Ford Coppola,202
16,Bob Kane,Christopher Nolan,152
17,Thomas Harris,Jonathan Demme,119
18,,Sergio Leone,152
19,,Lilly Wachowski,136
20,,Clint Eastwood,116
21,,Sergio Leone,172
22,,Steven Spielberg,115
23,,Barry Levinson,133
24,,John Sturges,123
25,Jan Drda,Jiří Krejčík,102
26,,Steven Spielberg,127
27,,Ridley Scott,117
28,,James Cameron,137
29,,Ron Howard,123
30,,James Mangold,152
31,Roderick Thorp,John McTiernan,131
32,,George Roy Hill,129
33,,Steven Spielberg,163
34,Božena Němcová,Hynek Bočan,91
35,,Luc Besson,105
36,,Oldřich Lipský,96
37,,Miloš Forman,173
38,,Jan Svěrák,97
39,,Irvin Kershner,124
40,James Ellroy,Curtis Hanson,138
41,Jaroslav Žák,Martin Frič,88
42,,George Roy Hill,110
43,J.R.R. Tolkien,Peter Jackson,172
44,,Robert Zemeckis,116
45,Paulo Lins,Fernando Meirelles,130
46,,Christopher Nolan,148
47,,Ridley Scott,149
48,Sylvia Nasar,Ron Howard,135
49,Ladislav Fuks,Juraj Herz,96
50,Michael Blake,Kevin Costner,237
51,,Jiří Menzel,98
52,Władysław Szpilman,Roman Polański,150
53,,M. Night Shyamalan,107
54,Nicholas Pileggi,Martin Scorsese,178
55,Dennis Lehane,Martin Scorsese,138
56,Chuck Palahniuk,David Fincher,139
57,,Quentin Tarantino,165
58,,Tony Kaye,119
59,,Mel Gibson,170
60,F.X. Toole,Clint Eastwood,133
61,,Gus Van Sant,126
62,,Michael Mann,170
63,,Roberto Benigni,116
64,Robert Bloch,Alfred Hitchcock,109
65,Christopher Priest,Christopher Nolan,130
66,,Oliver Stone,120
67,René Goscinny,René Goscinny,82
68,Sergio Pablos,Sergio Pablos,96
69,Stephen King,Stanley Kubrick,115
70,,Richard Donner,117
71,,Thomas Vinterberg,115
72,,William Wyler,118
73,William Steig,Vicky Jenson,90
74,,George Lucas,121
75,,Jiří Menzel,93
76,,Billy Wilder,120
77,Václav Kaplický,Otakar Vávra,103
78,Henri Charrière,Franklin J. Schaffner,151
79,Hubert Selby Jr.,Darren Aronofsky,102
80,Nicholas Pileggi,Martin Scorsese,146
81,,Karel Lamač,99
82,Ernesto Gastaldi,Sergio Leone,101
83,,George Lucas,140
84,,Karel Zeman,93
85,,Gavin O'Connor,140
86,,Bryan Singer,106
87,,Lee Unkrich,105
88,,Sam Mendes,122
89,,Guy Ritchie,104
90,,Bryan Singer,134
91,,Jiří Mádl,131
92,,Joaquim Dos Santos,140
93,,Richard Marquand,131
94,Božena Němcová,Bořivoj Zeman,107
95,Robert Ludlum,Paul Greengrass,115
96,Frank Herbert,Denis Villeneuve,166
97,,James Cameron,107
98,,Andrew Davis,130
99,Oliver Sacks,Penny Marshall,121
100,Frank W. Abagnale Jr.,Steven Spielberg,141
101,,Tony Scott,105
102,,Hajao Mijazaki,133
103,Donn Pearce,Stuart Rosenberg,126
104,,Jan Holoubek,112
105,Irvine Welsh,Danny Boyle,90
106,,Zdeněk Podskalský st.,99
107,,Jean-Jacques Annaud,96
108,,Peter Weir,103
109,,Ladislav Smoljak,81
110,Jaroslav Žák,Martin Frič,91
111,,Akira Kurosawa,160
112,,Quentin Tarantino,153
113,Mark Jacobson,Ridley Scott,151
114,,Guy Ritchie,103
115,Armitage Trail,Brian De Palma,170
116,,Hajao Mijazaki,124
117,,Peter Farrelly,130
118,,Ron Howard,149
119,Mark Bowden,Ridley Scott,138
120,,Terry Gilliam,124
121,,John McTiernan,107
122,,Jonathan Mackye Gruber,113
123,Ladislav Grosman,Ján Kadár,128
124,Bob Kane,Christopher Nolan,140
125,,Ladislav Smoljak,85
126,,John G. Avildsen,115
127,Jonathan Nolan,Christopher Nolan,113
128,,Roger Allers,89
129,,Richard Donner,107
130,Jacob Grimm,David Hand,83
131,Otfried Preußler,Karel Zeman,72
132,Lothar G. Buchheim,Wolfgang Petersen,200
133,,Chris Columbus,103
134,Bob Kane,Christopher Nolan,158
135,,Joseph Kosinski,131
136,,Sergio Leone,132
137,Hiroši Sakurazaka,Doug Liman,108
138,,Terry George,121
139,,Ladislav Smoljak,88
140,Cressida Cowell,Chris Sanders,94
141,Jules Verne,Karel Zeman,81
142,Peter Brown,Chris Sanders,101
143,Božena Němcová,Václav Vorlíček,75
144,,Martin Frič,80
145,,David Fincher,129
146,Ota Pavel,Karel Kachyňa,91
147,Gustav Hasford,Stanley Kubrick,116
148,Kathryn Stockett,Tate Taylor,140
149,Frederick Treves,David Lynch,124
150,,Andrew Stanton,100
151,Michael Crichton,Steven Spielberg,127
152,,Jan Svěrák,105
153,Jiří Brdečka,Oldřich Lipský,95
154,,Denis Villeneuve,153
155,Jaroslav Hašek,Karel Steklý,105
156,,Terry Jones,94
157,Joseph Conrad,Francis Ford Coppola,141
158,Pierre Boulle,David Lean,161
159,,Stanley Donen,103
160,,Martin Scorsese,151
161,,Robert Zemeckis,108
162,,Guy Ritchie,113
163,,Peter Weir,128
164,,Alan Parker,95
165,Edwin Torres,Brian De Palma,144
166,,Charlie Chaplin,68
167,,Brad Bird,111
168,,Quentin Tarantino,99
169,,Vojtěch Jasný,115
170,,Frank Capra,130
171,J. K. Rowling,Alfonso Cuarón,141
172,,Tom Hooper,118
173,Bohumil Hrabal,Jiří Menzel,83
174,,Jean Girault,95
175,Stan Lee,Anthony Russo,149
176,Gene Brewer,Iain Softley,120
177,Stan Lee,Bob Persichetti,117
178,Jan Procházka,Karel Kachyňa,91
179,,Andrew Niccol,122
180,,Michael Bay,136
181,Jaroslav Hašek,Karel Steklý,91
182,,Milan Šteindler,91
183,,Jan Sviták,88
184,,Karel Lamač,86
185,Cornell Woolrich,Alfred Hitchcock,112
186,,Charlie Chaplin,125
187,,Vladimír Slavínský,91
188,,Makoto Šinkai,106
189,,Richard Curtis,135
190,Robert Ludlum,Doug Liman,119
191,,John Lasseter,80
192,Robert Ludlum,Paul Greengrass,108
193,John Wood Campbell jr.,John Carpenter,109
194,,Damien Chazelle,107
195,Paul Brickhill,John Sturges,165
196,,Pierre Morel,89
197,David Morrell,Ted Kotcheff,93
198,,Lasse Hallström,89
199,,Ron Howard,144
200,,Hajao Mijazaki,118
201,,Oldřich Lipský,95
202,Karl May,Harald Reinl,111
203,,Eduard Hofman,80
204,,Wilson Yip,106
205,Charles Webb,Mike Nichols,106
206,,Claude Zidi,96
207,,Robert De Niro,122
208,,Martin Hollý ml.,86
209,,Billy Wilder,110
210,Humphrey Cobb,Stanley Kubrick,88
211,,Giuseppe Tornatore,173
212,,Christopher Nolan,169
213,Michael Ende,Wolfgang Petersen,94
214,,Pete Docter,90
215,Jon Krakauer,Sean Penn,148
216,Eliot Ness,Brian De Palma,119
217,,Philippe de Broca,90
218,,George Cukor,170
219,Jan Guillou,Mikael Håfström,113
220,Avery Corman,Robert Benton,105
221,,Oliver Stone,181
222,,Jindřich Polák,92
223,,Jae-han Lee,117
224,Gerry Conlon,Jim Sheridan,133
225,,Charlie Chaplin,87
226,,Tomm Moore,102
227,,James Cameron,194
228,Andrew Stanton,Andrew Stanton,98
229,,Todd Phillips,122
230,,James L. Brooks,139
231,,Oldřich Lipský,105
232,,Robert Zemeckis,118
233,,Francis Ford Coppola,164
234,,Gérard Oury,132
235,,Jiří Sequens st.,100
236,,Buster Keaton,79
237,,Stanley Kramer,186
238,,Jonathan Demme,125
239,,Jan Hřebejk,120
240,,Ladislav Smoljak,82
241,Mark Twain,Věra Plívová-Šimková,87
242,Jan Werich,Vlasta Pospíšilová,100
243,Lew Wallace,William Wyler,212
244,,José Giovanni,90
245,Victor Hugo,Jean-Paul Le Chanois,217
246,,Jesper W. Nielsen,110
247,,Joel Schumacher,113
248,Miloš Macourek,Miloš Macourek,69
249,Thea von Harbou,Fritz Lang,153
250,Marcel Pagnol,Claude Berri,120
251,,Michael Gracey,135
252,,Matthew Vaughn,126
253,,Edward Zwick,148
254,James Fenimore Cooper,Michael Mann,107
255,Peter Hedges,Lasse Hallström,118
256,Karl May,Harald Reinl,97
257,Richard Martin Stern,John Guillermin,165
258,René Goscinny,Pino Van Lamsweerde,79
259,Bohumil Hrabal,Jiří Menzel,95
260,Ward Greene,Hamilton Luske,75
261,John Steinbeck,Gary Sinise,115
262,Patrick Alexander,Georges Lautner,109
263,Thomas Berger,Arthur Penn,147
264,,Hajao Mijazaki,124
265,,Oldřich Lipský,71
266,,Sidney Lumet,121
267,,Isao Takahata,89
268,Donald Hamilton,William Wyler,165
269,,Charlie Chaplin,87
270,Agatha Christie,Billy Wilder,116
271,Gillian Flynn,David Fincher,149
272,,Taylor Hackford,144
273,,Paul Haggis,112
274,Pierre Souvestre,André Hunebelle,105
275,,Miloš Forman,71
276,,Jaroslav Papoušek,80
277,,Martin Frič,95
278,,Alfred Hitchcock,131
279,,Franco Zeffirelli,133
280,,Wojciech Smarzowski,150
281,Erich Maria Remarque,Lewis Milestone,138
282,Jae-won So,Joon-ik Lee,123
283,,Jean-Pierre Jeunet,117
284,,Jim Abrahams,86
285,Peter Benchley,Steven Spielberg,118
286,,Ash Brannon,89
287,,Byron Howard,108
288,,Harold Ramis,101
289,Pierre Boulle,Franklin J. Schaffner,112
290,,Paul Greengrass,111
291,,Adam Elliot,89
292,,Marcello Fondato,101
293,,Stephen Daldry,110
294,Gottfried August Bürger,Karel Zeman,83
295,,Florian Henckel von Donnersmarck,137
296,,Alan Parker,121
297,Donald E. Westlake,Brian Helgeland,90
298,,Florian Zeller,97
299,,Roger Spottiswoode,112
300,Marcel Pagnol,Claude Berri,113
301,,Zdeněk Miler,74
302,Daniel Wallace,Tim Burton,125
303,Jim Lovell,Ron Howard,140
304,,David Zucker,82
305,,Clint Eastwood,141
306,,Tony Scott,132
307,John Irving,Lasse Hallström,120
308,Jake LaMotta,Martin Scorsese,129
309,Fan Vavřincová,Martin Frič,90
310,,Hajao Mijazaki,86
311,René Goscinny,Paul Brizzi,79
312,,Joel Crawford,101
313,Marjane Satrapi,Vincent Paronnaud,96
314,Will Eisner,Brad Bird,86
315,,Roger Donaldson,121
316,Vladimír Körner,František Vláčil,96
317,Frederick Forsyth,Fred Zinnemann,143
318,,Hajao Mijazaki,116
319,,Richard Attenborough,188
320,,Tomm Moore,94
321,T. E. Lawrence,David Lean,209
322,,Richard Brooks,104
323,,Billy Wilder,125
324,,Robert Wiene,71
325,,Martin Frič,93
326,,Masaki Kobajaši,133
327,Jošitoki Óima,Naoko Jamada,130
328,,Nitesh Tiwari,161
329,,Charlie Chaplin,141
330,Daniel Defoe,Stanislav Látal,68
331,Evan Hunter,Akira Kurosawa,143
332,,Tim Burton,101
333,,Carlos Saldanha,78
334,,Michel Gondry,108
335,,Alejandro González Iñárritu,124
336,,Miloš Forman,121
337,Nenad Brixy,Oldřich Lipský,102
338,,Thomas Jahn,85
339,,Oliver Stone,140
340,,Enzo Barboni,120
341,,Roland Joffé,125
342,,Ki-duk Kim,103
343,,Terence Young,108
344,William Makepeace Thackeray,Stanley Kubrick,184
345,Louis Pergaud,Yves Robert,90
346,,Lee Tamahori,102
347,,Karel Zeman,65
348,,Majid Majidi,89
349,,Karel Zeman,90
350,,Andrej Tarkovskij,205
351,,Charlie Chaplin,89
352,,Akira Kurosawa,185
353,Ji-young Gong,Dong-hyeok Hwang,125
354,,Fritz Lang,117
355,Irving Stone,Carol Reed,138
356,Kóbó Abe,Hiroši Tešigahara,123
357,,Tim Burton,74
358,Jan Werich,Oldřich Lipský,93
359,Bohumil Hrabal,Jiří Menzel,93
360,,Joel Schumacher,81
361,Tim Burton,Henry Selick,76
362,Lorenzo Carcaterra,Barry Levinson,147
363,,Martin Frič,93
364,,Michael Curtiz,102
365,Jeanne-Marie Leprince de Beaumont,Gary Trousdale,84
366,,Damien O'Donnell,104
367,,Aaron Sorkin,129
368,Jules Verne,Karel Zeman,88
369,,Thomas Vinterberg,105
370,,Stanley Kramer,108
371,,Robert Enrico,97
372,Vladimir Arsenev,Akira Kurosawa,137
373,,Vittorio De Sica,93
374,James M. Cain,Billy Wilder,107
375,Maria von Trapp,Robert Wise,174
376,,Krzysztof Kieślowski,83
377,Jacob Grimm,Byron Howard,100
378,,Taylor Sheridan,103
379,,Ladislav Smoljak,80
380,Donald E. Westlake,Brian Helgeland,100
381,Peter George,Stanley Kubrick,95
382,,William Wyler,123
383,,Oriol Paulo,106
384,,Woody Allen,85
385,,Petr Schulhoff,96
386,,Krzysztof Kieślowski,95
387,Cornelius Ryan,Ken Annakin,171
388,,Ingmar Bergman,4
389,,Simon Wincer,103
390,,Jódžiró Takita,130
391,,Stanley Kramer,128
392,,Ingmar Bergman,169
393,,Charlie Chaplin,72
394,,Carl Theodor Dreyer,110
395,Hermann Sudermann,Friedrich Wilhelm Murnau,94
396,,Sam Taylor,74
397,MacKinlay Kantor,William Wyler,172
398,,Luc Besson,126
399,,Brad Bird,115
400,,Richard Kelly,113
401,Stephan Talty,Paul Greengrass,134
402,,Terry Gilliam,93
403,Karen Blixen,Sydney Pollack,161
404,Pierre Boileau,Alfred Hitchcock,128
405,,Barry Cook,88
406,Bram Stoker,Friedrich Wilhelm Murnau,94
407,Charles Perrault,Hamilton Luske,74
408,,Ingmar Bergman,96
409,,Hal Ashby,91
410,,Paul Greengrass,107
411,Ida Jessen,Nikolaj Arcel,127
412,,Jim Sheridan,103
413,,Akira Kurosawa,110
414,,Jasmila Žbanić,101
415,,Masaki Kobajaši,128
416,,Friedrich Wilhelm Murnau,101
417,,Gore Verbinski,143
418,F. Scott Fitzgerald,David Fincher,166
419,,David Ondříček,109
420,Neil Gaiman,Matthew Vaughn,128
421,,Edward Zwick,143
422,Umberto Eco,Jean-Jacques Annaud,126
423,,Clint Eastwood,131
424,,Taylor Hackford,146
425,Peter Maas,Sidney Lumet,130
426,,Jim Jarmusch,129
427,,Ki-duk Kim,88
428,,Lars von Trier,159
429,,Nikita Michalkov,152
430,,Mike Nichols,134
431,,Trey Parker,67
432,,James Hawes,108
433,,Jan Komasa,115
434,Lionel White,Stanley Kubrick,85
435,,Wim Wenders,147
436,,Kwang-hyeon Park,133
437,,François Truffaut,99
438,B. Traven,John Huston,126
439,,Krzysztof Kieślowski,117
440,,Friedrich Wilhelm Murnau,116
441,Eugene Burdick,Sidney Lumet,112
442,,Mehmet Ada Öztekin,132
443,,Martin McDonagh,115
444,,Joel Coen,98
445,Jules Verne,Oldřich Lipský,97
446,,Džun-ho Pong,132
447,,Francis Veber,80
448,,Je-gyu Kang,140
449,,Claude Zidi,107
450,,Martin Hollý ml.,87
451,Boris Pasternak,David Lean,197
452,Ladislav Mňačko,Ján Kadár,129
453,,Hae-joon Lee,116
454,,Stanley Kramer,97
455,,James Clavell,105
456,,Akira Kurosawa,96
457,,George Cukor,114
458,Šolom Alejchem,Norman Jewison,181
459,,Maciej Pieprzyca,107
460,,Francis Veber,85
461,,J.J. Abrams,127
462,,Roman Polański,130
463,,Billy Wilder,140
464,Jerzy Kosiński,Hal Ashby,130
465,Frank Miller,Jay Oliva,74
466,Rocky Graziano,Robert Wise,114
467,,Charles Binamé,124
468,,Vincent Garenq,97
469,,Fritz Lang,90
470,,Jim Abrahams,81
471,Stan Lee,Anthony Russo,182
472,Mark Millar,James Mangold,137
473,Anthony Burgess,Stanley Kubrick,136
474,Ian Fleming,Guy Hamilton,110
475,,Ilmar Raag,98
476,,Woody Allen,93
477,,Hugo Haas,106
478,Jan Procházka,Karel Kachyňa,86
479,Rjúnosuke Akutagawa,Akira Kurosawa,88
480,,Alfred Hitchcock,105
481,,Ingmar Bergman,91
482,Alois Jirásek,Jiří Trnka,91
483,Freidoune Sahebjam,Cyrus Nowrasteh,114
484,,Billy Wilder,111
485,John Boyne,Mark Herman,94
486,,Ridley Scott,130
487,,Clint Eastwood,138
488,Giovanni Arpino,Martin Brest,157
489,,Stuart Rosenberg,132
490,Eiko Kadono,Hajao Mijazaki,103
491,Deborah Curtis,Anton Corbijn,122
492,Vardis Fisher,Sydney Pollack,108
493,,Sean Ellis,114
494,,Mark Rydell,109
495,,Jošiaki Kawadžiri,91
496,,Mamoru Hosoda,117
497,,Robert Youngson,91
498,,Frank Capra,129
499,,Slobodan Šijan,83
500,Betty Smith,Fred Zinnemann,103
501,Helen Keller,Arthur Penn,106
502,Walter Wager,Renny Harlin,124
503,Johnny Cash,James Mangold,131
504,,Marc Forster,98
